title,context,price,upload_date,location,status,imgUrl,url
아이폰 13,"LG유플러스 개통시 기기값 0원
KT, SKT, 알뜰폰 이용 중이신 분들은 현금도
받아가실 수 있어요",90000,2024.06.05,청주시 서원구 분평동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/562f846deb25b54f8fc17ee4ecabc3168107fb7c1beefe7075b5a7b04cc4c3e8_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780872283
"
아이폰 11pro 64g 팝니다.,"액정 사설교체 트루컬러 작동(메세지는 뜸)
배터리 효율 75%
모든 기능 정상 작동
생활기스는 사진 확인해 주세요.",300000,2024.06.05,용인시 처인구 유림동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/cc0eb5ae3eb6b0355b117fe91500e1d7678c526984c7a1304dcfb66653a4ecf4_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871589
"
아이폰12프로 128기가 팝니다,생활기스 제외하고 완전 클린상태입니다.,430000,2024.06.05,성남시 중원구 은행1동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/523334fb36ecc44ebc759f8f275cbb93aee27247f323515072c40863f422483e.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871646
"
아이폰7 플러스128기가,"배터리성능75% 상태 양호.
강화필름부착되었음.",110000,2024.06.05,강릉시 성내동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/fda632866b81cf1526d607eee47e544d731aa338871c937dc8558feb1f48dabc_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871904
"
아이폰13프로 핸드폰케이스 일괄판매,"신지모루 맥세이프 케이스
- 실착 하루 사용 했어요
투명케이스 + 쿠로미 그립톡
- 변색 없으며 한번 끼고 바로 뺐어요 (젤리x)
일괄 만원에 싸게 급처해요
원가로 따져서 합치면 3-4 만원대 되는데 안쓰는 케이스 쟁여두기 싫어서 급처 원해요
조명 때문에 노래보이는 부분도 있는데
실물로 보시면 변색 없습니다 ㅠㅠ
✴️ 교환,환불 x
✴️ 거래 위치는 첨단 입니다
✴️ 선입금 후 문앞 비대면 거래 합니다",8000,2024.06.05,광산구 첨단1동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/c72347904d78d2a35e5a93169cad5c716b3f2a1cf3d723dae38e5d6ca82eda24.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871941
"
"아이폰15프로맥스 512 블랙 (미개봉,자급제)",직거래 합니다.,1700000,2024.06.05,노원구 중계동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/a80e11752a547940e26be8a37f0e19d3ba67b70e0573696383d27e170516e828.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780870753
"
아이폰15프로맥스 실리콘및 투명케이스2개 판매,"아이폰15프로맥스 실리콘및 투명케이스2개 판매
s급입니다
기스찍힘없습니다
2개 가격입니다
사진참고 하세요
맥세이프 안됩니다",5000,2024.06.05,경산시 동부동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/85bb4ee0cd708196a70bc8cd1eb3cd30cdda27a94e2da575b8b0ce7022a9be01.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871212
"
아이폰13 화이트 128기가,"하자내역
화면에 기스있습니다
밑에 오른쪽 모서리 사진 참고해주세요
이외 이상없습니다
배터리성능88
예민하시고 너무s급 찾는분들은 패스해주세요..
가격은 어느정도 네고 가능합니다",450000,2024.06.05,서구 갈마2동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/b7fde715442995c1db4dcb26074c0d02736e233212ece218c66e2d7a13c2fa4f.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871233
"
아이폰 충전잭 usb 3M,"아이폰 충전잭 3M짜리 판매합니다.
다이소보다 싸요.
1개 3000원에 드립니다.
원하시는 분 톡주세요~
직거래는 블루웨일2차에서 합니다.",3000,2024.06.05,남양주시 다산동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/508b708c1aaf9bb97437256d30b7c8a307b481ab205011eb04b50dcaeb4e610f_0.webp?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871240
"
아이폰15 프로맥스 자급제 256 화이트 미개봉,"아이폰 15프로 맥스 미개봉입니다 뽁뽁이 제거하면서 상자가 살짝 벗겨졌네요 ㅠㅠㅠㅠ🥲
쿠팡에서 산 자급제 입니다",1500000,2024.06.05,전주시 덕진구 금암1동,0,https://dnvefa72aowie.cloudfront.net/origin/article/202406/6e8e9c0609576f47ce917657ff3717147666039adb2da28ba1d03cd8120aea9d.jpg?f=webp&q=95&s=1440x1440&t=inside,"https://www.daangn.com/articles/780871409
"
