title,context,price,upload_date,location,status,imgUrl,url,condition
맥북에어 m2 미개봉 16램/256ssd/8cpu/10gpu 실버,"미개봉입니다 애플 비닐 외 겉 노란 포장박스도 미개봉입니다

선물로 받았는데 프로가 있어서 처분합니다

구매일자는 5/30이나 엑티베이션이 안된모델이라 보증기간은 늘어납니다

MacBook Air M2 CPU 8코어 GPU 10코어 RAM 16GB 256GB 실버 모델입니다

사진상에 보이는 모델번호 Z15W005GW 
구글에 검색해보시면  위 모델인것 확인하실 수 있습니다

저렴한 가격에 램 업글된 모델 업어가세요

직거래는 서울 지하철 구의역 / 건대입구역에서만 가능

택배시 배송비 5천원 별도로 반품 불가 조건입니다",1445000,2024.06.05,서울특별시 광진구 자양제1동,0,https://media.bunjang.co.kr/product/267987370_1_1717461987_w856.jpg,"https://m.bunjang.co.kr/products/267987370?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",새 상품
맥북에어 m3 13인치 256gb,"색상 스타라이트 램 8gb 저장공간 256gb 상자도 뜯지않은 새 상품입니다 직거래는 구리역 근처에서 바로 가능합니다
네고 x",1000000,2024.06.04,-,0,https://media.bunjang.co.kr/product/269591912_1_1717677647_w856.jpg,"https://m.bunjang.co.kr/products/269591912?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",새 상품
최상품 맥북에어 CTO 13인치 A1465 2015년식 분양합니다.,"최상품 맥북에어 CTO 13인치 A1465 2015년식  분양합니다. 이녀석의 사양은 사진에 올려 놓은데로 잘 봐주시면 되겠습니다..  부연 설명을 드리면 CPU는1.6GHz intel Core i5이고 램은 총 8G로 4G 1600MHz DDR3 램이 두개 설치 되어 있습니다. CTO 모델로서 8G로 업그레이드 되어 있습니다. VGA 사양은 Intel HD Graphics 6000 1536MB 이고 하드디스크 용량은 CTO 모델로 251SSD 이며 배터리는 최근에 새 제품으로 교체하여  사이클 수 2이고 최대충전용량  7,128mAh로서 매우 양호 합니다. 하드디스크는 Mac OS X (Monterey설치)에는 125G 부트캠프(윈도우 10 professional)에는 125.79G로 파티션 되어 있고 윈도우 10에는 오피스2013과 한글 2022, V3, 알집, 곰플레이어 설치 되어 있어서 바로 사용하시면 되십니다.  생활 기스도 거의 없고 외관상 상태 매우 좋습니다.  맥세이프도 상태 매우 양호 합니다. 기능상의 문제는 전혀 없으며 구성품은 본체,  맥세이프2 45w 입니다.  고가의 전자제품이여서 직접 확인하신 후 직거래로 구매 해주셨으면 좋겠고 어쩔 수 없이 택배로 받아 보셔야 할 경우는 우체국택배로 뽁뽁이로 충분히 포장해서 보내드리겠습니다. 직거래는 안산 선부3동이나시흥 시화공단에서 가능합니다.  감사합니다. 좋은 하루 되세요.",250000,2024.06.05,경기도 안산시 단원구 선부3동,0,https://media.bunjang.co.kr/product/264338270_1_1717487027_w856.jpg,"https://m.bunjang.co.kr/products/264338270?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어 A1932 부품 판매,"1. 맥북에어 A1932 액정 : 10만원
2. 맥북에어 A1932 로즈색상 케이스 : 7만원
3. 맥북에어 A1932 키보드 : 3만원

직접 보시고 분해해 가시면 됩니다.",200000,2024.06.04,서울특별시 광진구 자양제3동,0,https://media.bunjang.co.kr/product/249817016_1_1705387147_w856.jpg,"https://m.bunjang.co.kr/products/249817016?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
MacBook Air 13-inch Cover Case (맥북 에어 13,"맥북 에어 13-인치 커버 케이스 판매합니다.

M1 이전에 출시된 구형 에어 모델 전용입니다.

단순 개봉으로 미사용 상품입니다.

택배 거래는 5,000원이 추가됩니다.",5000,2024.05.19,-,0,https://media.bunjang.co.kr/product/208551955_1_1699498390_w856.jpg,"https://m.bunjang.co.kr/products/208551955?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",중고
맥북 에어m1 로즈골드,"맥북 에어m1 로즈골드색상 기본 모델 판매합니다
외부 기스는 3번째 첨부한 사진에 미세한 기스 밖에 없고 구매할때부터 케이스 착용해서 외부 상태 좋습니다!
맥북 에어M1 램8gb, 용량 128gb 배터리 성능92%
구성품 : 맥북, 어댑터, 박스, 스티커, 케이스",650000,2024.06.04,서울특별시 성북구 길음제1동,0,https://media.bunjang.co.kr/product/268889757_1_1717346151_w856.jpg,"https://m.bunjang.co.kr/products/268889757?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 적음
빈박스 맥북프로 15인치 ( 13인치 맥북프로나 에어도 넣을 수 있음 ),"* 제 상점에 다른 제품도 많이 있습니다^^ 꼭 한번 확인해주세요~
* 번개장터 공인 프로상점 애플프렌즈 입니다 ^^
* 업체 신용 후기로 확인해보세요
* 안전거래 수수료 제로! 
* 상점의 다른 제품 함께 구매 시 추가 할인 ( 문의주세요^^ )


1. 제품안내

맥북프로 15인치 빈박스입니다. 13인치는 없지만 13인치도 넣어서 사용 할 수 있습니다.
15인치보다 작아서 흔들리지만 내부에 에어캡 빈 공간에 좀 넣으시면 되요^^
맥북프로는 겉에 황토색 포장 박스는 없으며 사진 보이는 본 박스만 이외 다른거 없습니다.
업체 납품 후 남은 빈박스 여러개 있습니다.

* 모두 2019년 제조일 박스입니다.
* 제주도 및 산간 지역은 배송비 추가 3,000원 발생합니다.

2. 결제 방법

- 프로상점입니다. 안전거래 무료입니다. 편하게 주문해주세요 ^^
- 카드로 주문하셔도 별도 수수료 나오지 않습니다.

* 제 상점에 다른 제품도 많이 있습니다^^ 꼭 한번 확인해주세요~
*  구매와 관련없는 목적의 질문이나 광고성 질문 시 대답 드리지 않으며 차단 조치합니다.",10000,2024.06.05,서울특별시 금천구 가산동,0,https://media.bunjang.co.kr/product/218315343_1_1716167979_w856.jpg,"https://m.bunjang.co.kr/products/218315343?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
S급 맥북에어M2 스페이스그레이 (13인치),"안녕하세요! 23년 3월에 구입한 제품입니다. 충전기 포함 풀박스이고, 집에서 인터넷 서핑용으로 사용했고 10번도 사용안한 제품입니다(기스, 사용감 전혀없는 SS급입니다). 저는 생활 특성 상 사용할 일이 거의 없어서 판매하고자 합니다. 많은 관심 부탁드리고 죄송하지만 가격 네고는 어렵습니다! 다른 문의 있으시면 편히 연락주세요! 감사합니다.",1000000,2024.06.04,서울특별시 종로구 사직동,0,https://media.bunjang.co.kr/product/262134531_1_1716193076_w856.jpg,"https://m.bunjang.co.kr/products/262134531?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
맥북에어 M2 실버 13인치 기본형,"작년에 구매했는데 사용하기가 어려워서 팝니다
개봉하고 2번 정도 사용했습니다(배터리 성능 100)
개봉만 한 새거라고 보시면 돼요
충전기, 풀박스,포장지 다 있습니다",1400000,2024.06.04,-,0,https://media.bunjang.co.kr/product/257402508_1_1710942766_w856.jpg,"https://m.bunjang.co.kr/products/257402508?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
13인치 맥북 에어 m2 보증 남음 팝니다.,"13인치 m2 맥북 에어 256g / 8g / 스그

3개월 집에서만 사용해서 상태 최상입니다.

보증도 남아있으니 혹시 모를 문제 생겨도 걱정 없어요.

연락주세요",1000000,2024.06.04,서울특별시 강서구 화곡제1동,0,https://media.bunjang.co.kr/product/269584460_1_1717573732_w856.jpg,"https://m.bunjang.co.kr/products/269584460?q=%EB%A7%A5%EB%B6%81%EC%97%90%EC%96%B4&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
",사용감 없음
